序號,答案
20240117090001,92.54
20240117091001,224.95
20240117092001,260.17
20240117093001,165.71
20240117094001,225.34
20240117095001,321.17
20240117100001,130.76
20240117101001,210.21
20240117102001,154.32
20240117103001,204.97
20240117104001,201.93
20240117105001,216.82
20240117110001,307.2
20240117111001,220.46
20240117112001,306.41
20240117113001,359.8
20240117114001,371.12
20240117115001,410.86
20240117120001,313.91
20240117121001,295.23
20240117122001,280.89
20240117123001,254.31
20240117124001,434.87
20240117125001,360.06
20240117130001,338.0
20240117131001,239.05
20240117132001,277.8
20240117133001,356.97
20240117134001,754.97
20240117135001,654.17
20240117140001,564.49
20240117141001,688.16
20240117142001,474.54
20240117143001,420.95
20240117144001,686.73
20240117145001,966.83
20240117150001,564.16
20240117151001,262.79
20240117152001,88.22
20240117153001,24.88
20240117154001,71.65
20240117155001,157.52
20240117160001,92.66
20240117161001,100.1
20240117162001,46.01
20240117163001,37.22
20240117164001,33.74
20240117165001,72.21
20240119090001,286.86
20240119091001,360.53
20240119092001,402.85
20240119093001,385.8
20240119094001,462.46
20240119095001,459.43
20240119100001,483.87
20240119101001,441.86
20240119102001,604.49
20240119103001,1085.64
20240119104001,1266.66
20240119105001,1062.59
20240119110001,903.87
20240119111001,894.35
20240119112001,861.72
20240119113001,993.48
20240119114001,1108.57
20240119115001,923.9
20240119120001,1608.62
20240119121001,870.67
20240119122001,834.82
20240119123001,711.5
20240119124001,744.38
20240119125001,1325.3
20240119130001,1115.92
20240119131001,635.0
20240119132001,1087.1
20240119133001,529.73
20240119134001,453.67
20240119135001,432.31
20240119140001,551.52
20240119141001,338.9
20240119142001,642.54
20240119143001,221.51
20240119144001,449.2
20240119145001,206.93
20240119150001,124.59
20240119151001,127.29
20240119152001,89.8
20240119153001,66.34
20240119154001,64.18
20240119155001,18.78
20240119160001,55.55
20240119161001,77.38
20240119162001,20.29
20240119163001,19.88
20240119164001,11.34
20240119165001,4.01
20240224090001,119.74
20240224091001,134.59
20240224092001,105.59
20240224093001,105.36
20240224094001,113.94
20240224095001,144.28
20240224100001,226.81
20240224101001,146.78
20240224102001,107.35
20240224103001,133.92
20240224104001,140.43
20240224105001,190.78
20240224110001,155.63
20240224111001,113.05
20240224112001,124.04
20240224113001,121.98
20240224114001,119.61
20240224115001,141.66
20240224120001,97.66
20240224121001,79.56
20240224122001,73.33
20240224123001,83.58
20240224124001,86.28
20240224125001,113.9
20240224130001,96.39
20240224131001,83.4
20240224132001,82.23
20240224133001,89.18
20240224134001,96.5
20240224135001,74.64
20240224140001,42.77
20240224141001,34.41
20240224142001,24.17
20240224143001,15.06
20240224144001,13.47
20240224145001,16.62
20240224150001,15.56
20240224151001,18.67
20240224152001,10.04
20240224153001,18.17
20240224154001,12.37
20240224155001,9.22
20240224160001,4.73
20240224161001,6.73
20240224162001,2.14
20240224163001,14.21
20240224164001,8.98
20240224165001,8.02
20240226090001,73.51
20240226091001,65.42
20240226092001,85.09
20240226093001,68.47
20240226094001,84.92
20240226095001,103.04
20240226100001,129.71
20240226101001,147.92
20240226102001,139.9
20240226103001,171.88
20240226104001,170.44
20240226105001,225.65
20240226110001,123.37
20240226111001,108.44
20240226112001,106.73
20240226113001,61.76
20240226114001,60.46
20240226115001,77.42
20240226120001,44.26
20240226121001,47.28
20240226122001,37.37
20240226123001,48.55
20240226124001,47.94
20240226125001,50.12
20240226130001,49.0
20240226131001,42.84
20240226132001,56.69
20240226133001,42.01
20240226134001,53.67
20240226135001,33.04
20240226140001,18.38
20240226141001,7.18
20240226142001,10.63
20240226143001,18.84
20240226144001,15.94
20240226145001,5.86
20240226150001,4.77
20240226151001,0.0
20240226152001,0.0
20240226153001,7.68
20240226154001,8.12
20240226155001,15.61
20240226160001,1.66
20240226161001,0.0
20240226162001,0.0
20240226163001,1.75
20240226164001,0.0
20240226165001,11.65
20240327090001,115.94
20240327091001,121.02
20240327092001,158.12
20240327093001,166.19
20240327094001,271.06
20240327095001,389.78
20240327100001,579.87
20240327101001,644.71
20240327102001,716.54
20240327103001,673.37
20240327104001,1055.57
20240327105001,1036.62
20240327110001,777.76
20240327111001,755.51
20240327112001,525.24
20240327113001,494.85
20240327114001,341.78
20240327115001,361.98
20240327120001,265.45
20240327121001,251.98
20240327122001,258.87
20240327123001,216.74
20240327124001,236.15
20240327125001,199.44
20240327130001,177.43
20240327131001,117.56
20240327132001,87.51
20240327133001,59.87
20240327134001,33.82
20240327135001,42.33
20240327140001,41.88
20240327141001,36.21
20240327142001,27.17
20240327143001,30.42
20240327144001,36.31
20240327145001,17.31
20240327150001,23.45
20240327151001,23.45
20240327152001,25.57
20240327153001,24.81
20240327154001,36.46
20240327155001,34.85
20240327160001,15.72
20240327161001,0.21
20240327162001,10.52
20240327163001,0.0
20240327164001,20.2
20240327165001,41.54
20240329090001,41.38
20240329091001,9.66
20240329092001,17.13
20240329093001,24.01
20240329094001,20.0
20240329095001,6.0
20240329100001,24.68
20240329101001,9.56
20240329102001,7.0
20240329103001,10.57
20240329104001,19.54
20240329105001,10.83
20240329110001,30.28
20240329111001,4.75
20240329112001,5.4
20240329113001,8.96
20240329114001,13.0
20240329115001,20.59
20240329120001,47.52
20240329121001,46.62
20240329122001,39.97
20240329123001,28.82
20240329124001,50.9
20240329125001,10.9
20240329130001,37.87
20240329131001,16.01
20240329132001,11.44
20240329133001,9.44
20240329134001,39.07
20240329135001,18.93
20240329140001,16.96
20240329141001,1.58
20240329142001,15.07
20240329143001,15.66
20240329144001,19.86
20240329145001,0.0
20240329150001,23.47
20240329151001,2.52
20240329152001,7.29
20240329153001,3.39
20240329154001,19.71
20240329155001,0.0
20240329160001,6.03
20240329161001,0.0
20240329162001,0.0
20240329163001,0.0
20240329164001,0.0
20240329165001,0.0
20240428090001,209.44
20240428091001,347.15
20240428092001,134.38
20240428093001,61.11
20240428094001,76.46
20240428095001,99.37
20240428100001,64.26
20240428101001,130.11
20240428102001,346.04
20240428103001,457.22
20240428104001,706.6
20240428105001,507.57
20240428110001,627.0
20240428111001,852.4
20240428112001,742.51
20240428113001,356.64
20240428114001,202.05
20240428115001,288.15
20240428120001,321.93
20240428121001,289.09
20240428122001,226.56
20240428123001,237.33
20240428124001,215.08
20240428125001,158.67
20240428130001,60.4
20240428131001,45.62
20240428132001,67.26
20240428133001,52.01
20240428134001,26.79
20240428135001,45.32
20240428140001,37.98
20240428141001,49.86
20240428142001,68.41
20240428143001,52.98
20240428144001,124.26
20240428145001,113.72
20240428150001,193.96
20240428151001,311.93
20240428152001,206.67
20240428153001,117.93
20240428154001,72.4
20240428155001,104.22
20240428160001,121.27
20240428161001,70.7
20240428162001,54.06
20240428163001,18.67
20240428164001,8.92
20240428165001,8.12
20240430090001,933.8
20240430091001,1039.11
20240430092001,1139.45
20240430093001,1176.94
20240430094001,1159.16
20240430095001,1142.35
20240430100001,1161.33
20240430101001,973.87
20240430102001,1212.58
20240430103001,1271.87
20240430104001,1101.69
20240430105001,1168.23
20240430110001,1394.86
20240430111001,1245.36
20240430112001,1559.66
20240430113001,1632.33
20240430114001,1598.05
20240430115001,1480.87
20240430120001,893.91
20240430121001,1389.43
20240430122001,743.86
20240430123001,1409.14
20240430124001,1417.52
20240430125001,935.58
20240430130001,891.24
20240430131001,829.37
20240430132001,922.37
20240430133001,1132.23
20240430134001,931.37
20240430135001,851.58
20240430140001,906.78
20240430141001,656.47
20240430142001,438.92
20240430143001,303.46
20240430144001,249.06
20240430145001,322.32
20240430150001,144.43
20240430151001,34.1
20240430152001,72.85
20240430153001,75.15
20240430154001,69.33
20240430155001,32.85
20240430160001,45.76
20240430161001,41.61
20240430162001,25.88
20240430163001,17.42
20240430164001,28.4
20240430165001,14.63
20240515090001,954.75
20240515091001,1019.73
20240515092001,1066.09
20240515093001,1136.41
