序號,答案
20240117090001,94.71
20240117091001,131.51
20240117092001,129.98
20240117093001,124.61
20240117094001,233.44
20240117095001,283.67
20240117100001,159.08
20240117101001,181.1
20240117102001,154.96
20240117103001,159.11
20240117104001,150.33
20240117105001,116.03
20240117110001,260.43
20240117111001,248.4
20240117112001,243.0
20240117113001,191.19
20240117114001,213.95
20240117115001,278.47
20240117120001,272.73
20240117121001,210.57
20240117122001,195.02
20240117123001,117.21
20240117124001,164.24
20240117125001,199.17
20240117130001,218.6
20240117131001,225.99
20240117132001,263.87
20240117133001,185.48
20240117134001,290.23
20240117135001,327.11
20240117140001,375.52
20240117141001,376.52
20240117142001,288.57
20240117143001,361.53
20240117144001,335.64
20240117145001,445.25
20240117150001,242.85
20240117151001,247.94
20240117152001,225.0
20240117153001,151.39
20240117154001,167.09
20240117155001,185.32
20240117160001,142.44
20240117161001,182.98
20240117162001,156.55
20240117163001,88.31
20240117164001,171.64
20240117165001,126.08
20240119090001,169.41
20240119091001,226.5
20240119092001,362.9
20240119093001,341.87
20240119094001,513.49
20240119095001,623.46
20240119100001,399.43
20240119101001,505.61
20240119102001,462.08
20240119103001,481.55
20240119104001,637.09
20240119105001,709.34
20240119110001,632.15
20240119111001,672.11
20240119112001,711.39
20240119113001,564.71
20240119114001,631.62
20240119115001,721.22
20240119120001,656.08
20240119121001,597.77
20240119122001,593.22
20240119123001,455.4
20240119124001,512.24
20240119125001,551.55
20240119130001,425.51
20240119131001,379.43
20240119132001,384.11
20240119133001,301.86
20240119134001,335.97
20240119135001,312.13
20240119140001,236.09
20240119141001,190.21
20240119142001,246.27
20240119143001,158.48
20240119144001,144.37
20240119145001,161.18
20240119150001,133.44
20240119151001,129.01
20240119152001,179.36
20240119153001,83.57
20240119154001,69.44
20240119155001,141.75
20240119160001,107.96
20240119161001,125.99
20240119162001,103.4
20240119163001,59.25
20240119164001,18.88
20240119165001,47.79
20240224090001,160.35
20240224091001,129.77
20240224092001,181.64
20240224093001,185.63
20240224094001,150.34
20240224095001,299.8
20240224100001,392.29
20240224101001,340.59
20240224102001,344.22
20240224103001,278.23
20240224104001,273.47
20240224105001,448.06
20240224110001,316.05
20240224111001,287.21
20240224112001,241.08
20240224113001,195.24
20240224114001,184.37
20240224115001,258.66
20240224120001,199.71
20240224121001,202.83
20240224122001,136.2
20240224123001,119.25
20240224124001,109.13
20240224125001,139.29
20240224130001,151.34
20240224131001,155.7
20240224132001,130.65
20240224133001,103.81
20240224134001,54.3
20240224135001,62.42
20240224140001,84.12
20240224141001,72.93
20240224142001,71.32
20240224143001,30.23
20240224144001,0.0
20240224145001,14.24
20240224150001,82.45
20240224151001,84.65
20240224152001,55.1
20240224153001,39.43
20240224154001,0.0
20240224155001,0.0
20240224160001,46.84
20240224161001,69.39
20240224162001,42.74
20240224163001,23.09
20240224164001,13.43
20240224165001,31.89
20240226090001,86.69
20240226091001,111.29
20240226092001,108.94
20240226093001,63.03
20240226094001,44.09
20240226095001,105.21
20240226100001,155.98
20240226101001,161.3
20240226102001,192.09
20240226103001,145.61
20240226104001,197.33
20240226105001,259.1
20240226110001,165.79
20240226111001,167.08
20240226112001,116.0
20240226113001,78.6
20240226114001,64.54
20240226115001,117.2
20240226120001,135.18
20240226121001,146.51
20240226122001,87.99
20240226123001,79.73
20240226124001,39.38
20240226125001,79.76
20240226130001,76.58
20240226131001,120.98
20240226132001,97.65
20240226133001,63.86
20240226134001,41.58
20240226135001,31.57
20240226140001,66.78
