iter	RMSE
0	500.7790882
1	486.3567006
2	471.5811617
3	458.8509409
4	447.6543262
5	436.2365238
6	425.5161928
7	414.3216389
8	404.8115825
9	395.6807745
10	386.0297984
11	377.9090353
12	369.150075
13	361.7455308
14	353.7041419
15	347.1058882
16	340.8695656
17	334.8399729
18	328.2919636
19	322.9756823
20	318.4283851
21	313.6306061
22	308.8221095
23	305.2562807
24	301.2973389
25	298.0109216
26	294.6131927
27	291.0246211
28	288.3822792
29	285.2169028
30	282.1978853
31	279.9296541
32	276.265577
33	274.2084096
34	271.2052336
35	267.7938683
36	265.6558839
37	264.1363781
38	261.4975521
39	259.2067408
40	256.7334043
41	253.9661879
42	252.5411022
43	250.8139507
44	248.8600468
45	247.1315742
46	245.4719103
47	244.1124003
48	242.8607547
49	241.5482835
50	239.2719761
51	238.2711026
52	237.28965
53	235.1877595
54	233.4676942
55	231.8792686
56	230.631151
57	229.3568213
58	228.2236297
59	226.7393655
60	225.3068501
61	224.5282749
62	222.8325936
63	221.5093098
64	220.3911606
65	219.625214
66	218.9521992
67	218.0475555
68	217.0576103
69	215.5114791
70	214.1281163
71	213.4657896
72	212.8383965
73	211.1787828
74	209.7659974
75	208.3036985
76	207.2395497
77	206.3673905
78	205.6548561
79	204.3600878
80	203.5759909
81	202.9387743
82	201.7794157
83	200.9712648
84	200.0101908
85	199.1246517
86	198.5066906
87	198.0206244
88	197.2785162
89	196.7760327
90	196.1982688
91	195.4956228
92	194.926952
93	193.9775108
94	193.1856111
95	192.5464146
96	191.9815674
97	191.3864332
98	190.8431428
99	189.9931089
100	189.1490362
101	188.4826827
102	187.9038397
103	187.2746461
104	186.6847025
105	186.3339266
106	185.9219386
107	185.393609
108	184.8499799
109	184.2746541
110	183.7299466
111	183.1486383
112	182.7592243
113	181.9777191
114	181.4593561
115	180.8423614
116	180.0721272
117	179.2978666
118	179.0032331
119	178.4226025
120	177.9768988
121	177.4754172
122	176.7766726
123	176.5938765
124	175.9801913
125	175.4556438
126	175.0437524
127	174.8105948
128	174.509149
129	174.1860365
130	173.7494859
131	173.2228391
132	172.8674417
133	172.4819183
134	172.1757884
135	171.8098144
136	171.1099603
137	170.4576529
138	169.9409088
139	169.6271845
140	169.2094511
141	168.9613869
142	168.4700427
143	167.9442583
144	167.6208334
145	167.1489621
146	166.625162
147	166.2538982
148	166.0141426
149	165.7563963
150	165.46705
151	164.9360568
152	164.537343
153	164.031273
