iter	Passed	Remaining
0	86	860651
1	104	523929
2	120	403115
3	136	340977
4	150	300298
5	163	271778
6	175	250042
7	186	232591
8	197	219318
9	208	208346
10	221	201366
11	233	194155
12	245	188497
13	256	182963
14	268	178458
15	280	174906
16	292	171690
17	303	168179
18	314	165283
19	325	162588
20	336	160101
21	348	157978
22	360	156576
23	372	154855
24	383	153197
25	396	151915
26	407	150455
27	418	149009
28	430	148184
29	442	146894
30	453	145774
31	466	145196
32	477	144367
33	489	143602
34	504	143724
35	517	143193
36	529	142529
37	540	141746
38	552	141024
39	563	140322
40	575	139677
41	586	139024
42	597	138347
43	609	137868
44	620	137336
45	631	136737
46	643	136212
47	654	135767
48	666	135263
49	677	134726
50	688	134286
51	699	133830
52	710	133382
53	722	133072
54	733	132658
55	745	132390
56	756	132038
57	768	131649
58	779	131382
59	791	131181
60	803	130958
61	815	130646
62	826	130397
63	838	130153
64	849	129913
65	861	129723
66	876	129954
67	889	129932
68	902	129847
69	916	130037
70	929	129969
71	941	129777
72	952	129502
73	963	129291
74	975	129034
75	986	128811
76	998	128621
77	1009	128439
78	1021	128237
79	1032	128003
80	1043	127760
81	1054	127546
82	1066	127417
83	1084	127997
84	1102	128616
85	1117	128855
86	1130	128823
87	1141	128625
88	1153	128494
89	1166	128443
90	1177	128233
91	1188	127976
92	1199	127743
93	1210	127575
94	1222	127425
95	1233	127248
96	1244	127078
97	1256	126931
98	1267	126746
99	1279	126652
100	1290	126502
101	1302	126369
102	1313	126225
103	1324	126045
104	1335	125885
105	1347	125740
106	1357	125556
107	1369	125434
108	1380	125290
109	1391	125134
110	1402	124981
111	1413	124828
112	1425	124745
113	1440	124920
114	1453	124929
115	1464	124792
116	1475	124629
117	1486	124529
118	1500	124618
119	1513	124588
120	1528	124805
121	1540	124703
122	1551	124599
123	1563	124559
124	1575	124457
125	1586	124342
126	1597	124221
127	1609	124142
128	1620	124025
129	1631	123900
130	1642	123769
131	1654	123679
132	1665	123565
133	1677	123503
134	1691	123591
135	1703	123569
136	1715	123514
137	1727	123456
138	1738	123339
139	1749	123229
140	1761	123148
141	1772	123058
142	1783	122955
143	1795	122869
144	1807	122814
145	1824	123161
146	1838	123238
147	1850	123215
148	1862	123137
149	1874	123077
150	1885	123007
151	1897	122944
152	1908	122830
153	1919	122725
154	1931	122655
155	1942	122571
156	1952	122439
157	1964	122339
158	1975	122249
159	1986	122151
160	1997	122041
161	2008	121953
162	2019	121862
163	2031	121811
164	2041	121710
165	2052	121607
166	2063	121525
167	2074	121429
168	2086	121352
169	2097	121265
170	2107	121163
171	2121	121197
172	2133	121164
173	2144	121109
174	2156	121058
175	2167	121013
176	2179	120960
177	2193	121027
178	2205	121030
179	2217	120960
180	2228	120912
181	2240	120856
182	2252	120816
183	2263	120728
184	2274	120678
185	2286	120643
186	2297	120566
187	2308	120506
188	2320	120446
189	2331	120373
190	2342	120317
191	2357	120438
192	2369	120381
193	2380	120323
194	2391	120272
195	2404	120257
196	2415	120214
197	2427	120167
198	2438	120116
199	2449	120040
200	2461	119986
201	2472	119951
202	2484	119908
203	2495	119844
204	2507	119798
205	2519	119778
206	2530	119705
207	2542	119683
208	2556	119762
209	2570	119854
210	2582	119814
211	2597	119907
212	2609	119889
213	2620	119846
214	2631	119773
215	2643	119723
216	2654	119656
217	2665	119605
218	2677	119571
219	2688	119513
220	2699	119458
221	2710	119404
222	2722	119353
223	2733	119292
224	2744	119232
225	2755	119182
226	2767	119138
227	2778	119072
